Avg Threads Running,2,2,2.2,2.7,3.0999999999999996,4,4.3,4.7,5,5.4,6.3,7.2,7.555555555555555,7.625,9.25,9,9.666666666666668,10.4,11.75,13.666666666666666,15,19,19,19,23,23,23,23,23,26.5,26.5,26.5,26.5,26.5,30,30,30,30,30,90,85,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,69.5,39.5,20,20,20,20,20,20.5,20.5,18.333333333333336,17,16,16,17.25,17.25,19.2,19.2,18.75,18.75,20.333333333333332,24,24,24,27,27,26,26,19,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,19.75,17.666666666666668,17.666666666666668,20.5,27,27,27,27,27,27,21,23
Peak Threads Connected,2,2,4,7,7,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,30,30,30,30,30,30,30,30,30,30,90,90,90,90,90,90,90,90,90,90,80,59,20,20,20,20,20,21,21,21,21,21,21,21,21,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,21,25
Peak Threads Running,1,1,1,1,2,2,2,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,50,71,71,71,71,71,71,71,71,71,71,44,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Table Locks Immediate,56.22222222222223,56.777777777777786,59.22222222222223,225.22222222222223,359.33333333333337,486.55555555555554,633.3333333333334,780,927.7777777777777,1034.888888888889,1144.3333333333335,1310.6666666666667,1103.83155,976.2693142857142,1263.8935108153078,1097.7858047411105,962.5208695652175,830.3299044056527,740.4407743436357,662.4717434620175,555.6454892205638,1214.4718380436964,1214.4718380436964,1214.4718380436964,1214.4718380436964,1214.4718380436964,223.26092611862646,361.1073304436512,319.05,319.05,319.05,319.05,319.05,319.05,283.33787608363076,194.96439999999998,1212.6385809312637,1179.6966161026837,1179.6966161026837,1159.0795397698848,1166.7037861915367,510,510,903.130471745291,1149.191531921987,1156.953476738369,1156.953476738369,957.5936544979719,839.9073734511306,745.6087387836491,606.1278668002003,488.10082623935904,370.07378567851777,441.63460764587523,501.95370121130543,487.2,487.2,487.2,487.2,531.6796769851951,1187.2846504390352,1198.1737765729774,1198.1737765729774,1233.8589211618257,269.30498458376155
Table Locks Waited,0,0,0,2.7777777777777777,4.777777777777778,6.888888888888888,11.88888888888889,13.555555555555557,17.555555555555557,18.77777777777778,20.555555555555557,23.22222222222222,19.830599999999997,18.075028571428568,24.29284525790349,19.114853399875233,17.766521739130432,14.086976309226932,13.339129278830177,12.291706102117061,11.091343283582088,23.251152535578274,23.251152535578274,23.251152535578274,23.251152535578274,23.251152535578274,2.896357960457857,8.149107598164202,7.2,7.2,7.2,7.2,7.2,7.2,6.3940846506884235,5.8392,22.394678492239468,22.003667277879646,22.003667277879646,21.51075537768884,22.048997772828507,9.9,9.9,16.506301050175033,21.003500583430572,22.011005502751374,22.011005502751374,18.446563316108243,16.17951880869034,14.017597208374877,12.858037055583376,10.354281422133202,7.850525788683024,9.474647887323943,9.8907133243607,9.6,9.6,9.6,9.6,10.476446837146703,23.452261865066134,23.113140248252243,23.113140248252243,24.398340248962654,6.486382322713257
bytes_received_rate,12043.222222222223,12113.888888888889,12279.555555555557,32845.66666666667,49311.88888888889,64954.333333333336,82517.55555555556,99798.55555555556,118518.55555555555,131328.22222222222,144403.77777777778,164347.11111111112,138163.131225,121813.82402857141,156829.95008319468,136325.0471938033,119811.94739130435,102589.72204696592,91220.1119707544,81485.68894769615,68316.20467661691,149387.65283623972,149387.65283623972,149387.65283623972,149387.65283623972,149387.65283623972,23763.168886576485,40716.167248852624,35974.05,35974.05,35974.05,35974.05,35974.05,35974.05,31947.37790668026,22930.7006,146462.97117516628,145172.1953658943,145172.1953658943,143732.61630815407,144204.3429844098,63610.05,63610.05,111728.40075845974,142169.19486581098,143538.76938469234,143538.76938469234,117913.95926543314,103422.5773684503,92219.09594715854,75827.18760640963,61061.889659489236,46296.59171256884,55103.005231388335,62174.87846567967,60347.4,60347.4,60347.4,60347.4,65856.90915208614,144010.6702234078,144198.6017976887,144198.6017976887,148273.52697095435,33206.193473792395
bytes_sent_rate,160522.22222222222,167026,165480,197792.6666666667,220774.7777777778,256670.6666666667,270150.1111111111,308406,355647.1111111111,361222.22222222225,379363.55555555556,424118,364289.091975,320009.2344571428,411731.6694398225,362245.14735911833,309531.4704347826,264599.1118640898,243048.9398072449,214211.91555417184,176704.04621890545,411163.5598316296,411163.5598316296,411163.5598316296,411163.5598316296,411163.5598316296,75319.30603537982,102654.47818714942,90698.55,90698.55,90698.55,90698.55,90698.55,90698.55,80546.41755481895,47459.557799999995,431557.8713968958,401840.3067177863,401840.3067177863,382901.5757878939,385901.00222717144,158212.65,158212.65,301669.15799299884,383859.97666277713,396500.6253126563,396500.6253126563,341719.6014280158,299722.9686558871,269605.289551346,223123.71690035053,179676.39591887832,136229.07493740608,177701.85513078474,179261.91551144008,173992.95,173992.95,173992.95,173992.95,189877.90528263798,399564.63265532954,381775.28891425306,381775.28891425306,404137.75933609955,111214.79059609454
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,26.111111111111114,26.111111111111114,27.666666666666668,101.22222222222223,157.11111111111111,216.55555555555557,275.77777777777777,338.33333333333337,403.11111111111114,448.44444444444446,496.33333333333337,570.2222222222223,478.73654999999997,425.3075999999999,547.8646699944536,480.0684445830734,422.3739130434783,364.19987531172075,326.4513692256563,292.4401743462018,244.00955223880595,541.7919422730007,541.7919422730007,541.7919422730007,541.7919422730007,541.7919422730007,89.54573361082207,159.07737123916368,140.55,140.55,140.55,140.55,140.55,140.55,124.81786078531361,91.80519999999999,533.2594235033259,513.0855142523753,513.0855142523753,499.7498749374687,504.34298440979956,217.65,217.65,388.94609379341006,494.9158193032172,498.624312156078,498.624312156078,416.26840306717787,365.10987664610764,323.1693320039881,261.7896344516775,210.81316975463196,159.83670505758636,183.69215291750504,212.80487886944815,206.55,206.55,206.55,206.55,225.40730148048456,508.83627875958655,517.6202025966614,517.6202025966614,531.2863070539419,124.20220966084275
qcache_lowmem_prunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com admin_commands,1,1,1,1,1,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.9983361064891845,0.8788438344770222,0.7821739130434782,0.6871695760598504,0.5954968428049185,0.5121544209215443,0.462139303482587,1.0022048506714774,1.0022048506714774,1.0022048506714774,1.0022048506714774,1.0022048506714774,0.24136316337148805,0.3395461499235084,0.3,0.3,0.3,0.3,0.3,0.3,0.2664201937786843,0.16219999999999998,0.9977827050997783,1.0001666944490748,1.0001666944490748,1.0005002501250624,1.0022271714922049,0.45,0.45,0.7860143357226205,1.0001666944490748,1.0005002501250624,1.0005002501250624,0.8138189698283048,0.7138023003833972,0.6371635094715853,0.5143214822233351,0.414171256885328,0.314021031547321,0.38672032193158956,0.46362718707940775,0.45,0.45,0.45,0.45,0.4910834454912517,1.000333444481494,0.9987159366528747,0.9987159366528747,0.995850622406639,0.24023638232271324
com alter_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
